OS;Categoria;Linha;Equipamento;Descricao;InicioProg;TerminoProg;TempoPrevisto;InicioReal;TerminoReal;TempoParada;Oficina;Tipo;MP;SS;Status
OS89818;Utilidades;Subsestação;Trafo 750 KVA;Corretiva banco;05/06/2021 09:36;05/06/2021 12:07;2,52;20/06/2021 17:09;20/06/2021 19:12;2,05;Automação;Corretiva;;SS47592;FECH
OS89819;Xarope;X-01;Esteira X-01;Corretiva banco;10/09/2021 16:48;10/09/2021 18:41;1,88;10/09/2021 16:48;10/09/2021 18:41;1,88;Automação;Corretiva;;SS47593;FECH
OS89820;Xarope;X-02;Envasadora X-02;Corretiva banco;13/05/2021 04:48;13/05/2021 06:01;1,22;29/05/2021 11:15;29/05/2021 12:00;0,75;Automação;Corretiva;;;FECH
OS89821;Utilidades;Subsestação;Trafo 1000 KVA;Corretiva banco;06/11/2021 04:48;06/11/2021 06:56;2,13;09/11/2021 10:20;09/11/2021 12:00;1,67;Elétrica;Corretiva;;SS47595;FECH
OS89822;Pomadas;P-02;Seladora P-02;Corretiva banco;11/08/2021 04:48;11/08/2021 08:12;3,4;11/08/2021 04:48;11/08/2021 08:12;3,4;Mecânica;Corretiva;;SS47596;FECH
OS89823;Pomadas;P-01;Paletrizadora P-01;Corretiva banco;23/09/2021 21:36;24/09/2021 00:59;3,38;23/09/2021 21:36;24/09/2021 00:59;3,38;Mecânica;Corretiva;;SS47597;FECH
OS89824;Pomadas;P-01;Envasadora P-01;Corretiva banco;20/01/2021 16:48;20/01/2021 21:18;4,5;27/09/2021 16:48;27/09/2021 21:18;4,5;Mecânica;Corretiva;;SS47598;FECH
OS89825;Xarope;X-01;Seladora X-01;Corretiva banco;29/09/2021 02:24;29/09/2021 06:12;3,8;30/09/2021 03:51;30/09/2021 07:12;3,35;Mecânica;Corretiva;;;FECH
OS89826;Pomadas;P-02;Encartuchadeira P-02;Corretiva banco;12/11/2021 14:24;12/11/2021 16:16;1,87;12/11/2021 14:24;12/11/2021 16:16;1,87;Mecânica;Corretiva;;;FECH
OS89827;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;24/01/2021 19:12;24/01/2021 20:55;1,72;02/02/2021 08:21;02/02/2021 09:36;1,25;Mecânica;Corretiva;;;FECH
OS89828;Pomadas;P-02;Seladora P-02;Corretiva banco;02/03/2021 07:12;02/03/2021 10:26;3,23;17/03/2021 07:12;17/03/2021 10:26;3,23;Mecânica;Corretiva;;;FECH
OS89829;Pomadas;P-02;Esteira P-02;Corretiva banco;24/06/2021 07:12;24/06/2021 09:30;2,3;24/06/2021 07:12;24/06/2021 09:30;2,3;Elétrica;Corretiva;;;FECH
OS89830;Xarope;Fabricação Xarope;Mixer 2 Xarope;Corretiva banco;13/11/2021 12:00;13/11/2021 17:02;5,03;13/11/2021 12:00;13/11/2021 17:02;5,03;Elétrica;Corretiva;;;FECH
OS89831;Utilidades;Subsestação;Trafo 1000 KVA;Corretiva banco;05/03/2021 07:12;05/03/2021 11:03;3,85;19/03/2021 12:12;19/03/2021 16:48;4,6;Mecânica;Corretiva;;;FECH
OS89832;Xarope;Fabricação Xarope;Mixer 1 Xarope;Corretiva banco;13/03/2021 12:00;13/03/2021 15:18;3,3;25/03/2021 15:53;25/03/2021 19:12;3,32;Elétrica;Corretiva;;;FECH
OS89833;Xarope;X-01;Seladora X-01;Corretiva banco;28/12/2021 14:24;28/12/2021 19:10;4,77;28/12/2021 14:24;28/12/2021 19:10;4,77;Elétrica;Corretiva;;;FECH
OS89834;Xarope;X-01;Paletrizadora X-01;Corretiva banco;22/09/2021 04:48;22/09/2021 05:52;1,07;22/09/2021 04:48;22/09/2021 05:52;1,07;Elétrica;Corretiva;;;FECH
OS89835;Pomadas;P-02;Encartuchadeira P-02;Corretiva banco;10/06/2021 14:24;10/06/2021 18:04;3,67;16/06/2021 08:19;16/06/2021 12:00;3,68;Mecânica;Corretiva;;;FECH
OS89836;Xarope;Fabricação Xarope;Mixer 1 Xarope;Corretiva banco;08/08/2021 12:00;08/08/2021 13:30;1,5;22/08/2021 04:58;22/08/2021 07:12;2,23;Mecânica;Corretiva;;SS47610;FECH
OS89837;Xarope;X-01;Encartuchadeira X-01;Corretiva banco;14/09/2021 04:48;14/09/2021 08:55;4,12;14/09/2021 04:48;14/09/2021 08:55;4,12;Mecânica;Corretiva;;SS47611;FECH
OS89839;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;07/05/2021 16:48;07/05/2021 19:00;2,2;20/05/2021 21:04;21/05/2021 00:00;2,93;Automação;Corretiva;;SS47613;FECH
OS89840;Pomadas;P-01;Esteira P-01;Corretiva banco;06/12/2021 21:36;06/12/2021 23:29;1,88;06/12/2021 21:36;06/12/2021 23:29;1,88;Elétrica;Corretiva;;SS47614;FECH
OS89843;Pomadas;P-01;Seladora de pacotes P-01;Corretiva banco;28/05/2021 21:36;29/05/2021 00:02;2,43;13/05/2021 23:28;14/05/2021 02:24;2,93;Automação;Corretiva;;SS47617;FECH
OS89844;Utilidades;Subsestação;Trafo 750 KVA;Corretiva banco;16/12/2021 21:36;17/12/2021 01:49;4,22;24/12/2021 20:15;25/12/2021 00:00;3,75;Elétrica;Corretiva;;SS47618;FECH
OS89845;Pomadas;Fabricação Pomadas;Mixer 1 Pomadas;Corretiva banco;12/02/2021 14:24;12/02/2021 16:42;2,3;17/02/2021 14:24;17/02/2021 16:42;2,3;Mecânica;Corretiva;;SS47619;FECH
OS89846;Utilidades;Sala de Caldeiras;Caldeira 01;Corretiva banco;09/05/2021 07:12;09/05/2021 09:53;2,68;06/10/2021 07:12;06/10/2021 09:53;2,68;Elétrica;Corretiva;;SS47620;FECH
OS89847;Xarope;X-01;Seladora X-01;Corretiva banco;17/12/2021 04:48;17/12/2021 07:01;2,22;17/12/2021 04:48;17/12/2021 07:01;2,22;Mecânica;Corretiva;;SS47621;FECH
OS89848;Pomadas;P-01;Esteira P-01;Corretiva banco;19/01/2021 12:00;19/01/2021 13:35;1,58;10/02/2021 22:24;11/02/2021 00:00;1,6;Automação;Corretiva;;;FECH
OS89849;Xarope;X-02;Esteira X-02;Corretiva banco;02/10/2021 07:12;02/10/2021 12:10;4,97;11/10/2021 11:21;11/10/2021 16:48;5,45;Mecânica;Corretiva;;SS47623;FECH
OS89850;Pomadas;P-02;Envasadora P-02;Corretiva banco;19/12/2021 07:12;19/12/2021 10:10;2,97;19/12/2021 07:12;19/12/2021 10:10;2,97;Mecânica;Corretiva;;SS47624;FECH
OS89851;Pomadas;P-02;Seladora de pacotes P-02;Corretiva banco;16/03/2021 12:00;16/03/2021 15:48;3,8;16/04/2021 00:59;16/04/2021 04:48;3,82;Elétrica;Corretiva;;SS47625;FECH
OS89852;Utilidades;Subsestação;Trafo 1000 KVA;Corretiva banco;27/03/2021 14:24;27/03/2021 16:52;2,47;01/04/2021 18:24;01/04/2021 21:36;3,2;Elétrica;Corretiva;;SS47626;FECH
OS89853;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;09/02/2021 07:12;09/02/2021 08:25;1,22;24/02/2021 10:03;24/02/2021 12:00;1,95;Mecânica;Corretiva;;SS47627;FECH
OS89854;Xarope;X-01;Envasadora X-01;Corretiva banco;18/10/2021 09:36;18/10/2021 13:12;3,6;27/10/2021 03:21;27/10/2021 07:12;3,85;Mecânica;Corretiva;;SS47628;FECH
OS89855;Utilidades;Sala de Caldeiras;Caldeira 01;Corretiva banco;20/01/2021 21:36;21/01/2021 01:39;4,05;30/01/2021 00:15;30/01/2021 04:48;4,55;Elétrica;Corretiva;;SS47629;FECH
OS89856;Pomadas;P-01;Paletrizadora P-01;Corretiva banco;08/11/2021 12:00;08/11/2021 13:32;1,53;08/11/2021 12:00;08/11/2021 13:32;1,53;Mecânica;Corretiva;;SS47630;FECH
OS89857;Pomadas;P-02;Esteira P-02;Corretiva banco;29/05/2021 16:48;29/05/2021 19:43;2,92;27/05/2021 11:57;27/05/2021 14:24;2,45;Mecânica;Corretiva;;;FECH
OS89858;Xarope;X-02;Encartuchadeira X-02;Corretiva banco;19/10/2021 07:12;19/10/2021 08:34;1,37;19/10/2021 07:12;19/10/2021 08:34;1,37;Mecânica;Corretiva;;SS47632;FECH
OS89860;Pomadas;P-02;Encartuchadeira P-02;Corretiva banco;05/11/2021 07:12;05/11/2021 12:12;5;15/11/2021 09:37;15/11/2021 14:24;4,78;Elétrica;Corretiva;;SS47634;FECH
OS89861;Xarope;X-02;Envasadora X-02;Corretiva banco;10/06/2021 16:48;10/06/2021 19:50;3,03;15/06/2021 16:23;15/06/2021 19:12;2,82;Mecânica;Corretiva;;SS47635;FECH
OS89862;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;20/05/2021 14:24;20/05/2021 19:16;4,87;22/05/2021 14:05;22/05/2021 19:12;5,12;Elétrica;Corretiva;;SS47636;FECH
OS89863;Pomadas;Fabricação Pomadas;Mixer 2 Pomadas;Corretiva banco;21/12/2021 09:36;21/12/2021 12:33;2,95;21/12/2021 09:36;21/12/2021 12:33;2,95;Elétrica;Corretiva;;;FECH
OS89864;Xarope;X-01;Esteira X-01;Corretiva banco;29/05/2021 19:12;29/05/2021 20:26;1,23;22/05/2021 05:13;22/05/2021 07:12;1,98;Mecânica;Corretiva;;SS47638;FECH
OS89865;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;18/07/2021 07:12;18/07/2021 10:26;3,23;18/07/2021 07:12;18/07/2021 10:26;3,23;Mecânica;Corretiva;;SS47639;FECH
OS89866;Pomadas;P-02;Esteira P-02;Corretiva banco;27/07/2021 04:48;27/07/2021 07:17;2,48;30/07/2021 07:35;30/07/2021 09:36;2,02;Mecânica;Corretiva;;;FECH
OS89867;Xarope;X-01;Seladora X-01;Corretiva banco;15/01/2021 16:48;15/01/2021 20:51;4,05;17/02/2021 00:59;17/02/2021 04:48;3,82;Mecânica;Corretiva;;SS47641;FECH
OS89868;Xarope;X-02;Seladora X-02;Corretiva banco;20/11/2021 02:24;20/11/2021 05:55;3,52;20/11/2021 02:24;20/11/2021 05:55;3,52;Mecânica;Corretiva;;SS47642;FECH
OS89869;Xarope;X-01;Paletrizadora X-01;Corretiva banco;14/09/2021 14:24;14/09/2021 17:31;3,12;26/09/2021 18:43;26/09/2021 21:36;2,88;Mecânica;Corretiva;;SS47643;FECH
OS89870;Xarope;X-02;Seladora X-02;Corretiva banco;26/11/2021 21:36;27/11/2021 01:23;3,78;26/11/2021 21:36;27/11/2021 01:23;3,78;Elétrica;Corretiva;;SS47644;FECH
OS89871;Xarope;X-01;Paletrizadora X-01;Corretiva banco;22/05/2021 09:36;22/05/2021 14:15;4,65;27/05/2021 12:23;27/05/2021 16:48;4,42;Elétrica;Corretiva;;SS47645;FECH
OS89872;Xarope;X-02;Seladora de pacotes X-02;Corretiva banco;07/12/2021 14:24;07/12/2021 18:14;3,83;16/12/2021 13:12;16/12/2021 16:48;3,6;Mecânica;Corretiva;;SS47646;FECH
OS89873;Utilidades;Subsestação;Trafo 1000 KVA;Corretiva banco;17/12/2021 04:48;17/12/2021 08:25;3,62;17/12/2021 04:48;17/12/2021 08:25;3,62;Automação;Corretiva;;;FECH
OS89874;Pomadas;P-02;Envasadora P-02;Corretiva banco;13/10/2021 21:36;14/10/2021 00:28;2,87;18/10/2021 13:40;18/10/2021 16:48;3,13;Mecânica;Corretiva;;SS47648;FECH
OS89875;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;24/01/2021 02:24;24/01/2021 07:24;5;13/02/2021 02:39;13/02/2021 07:12;4,55;Mecânica;Corretiva;;SS47649;FECH
OS89876;Pomadas;P-01;Seladora P-01;Corretiva banco;03/07/2021 14:24;03/07/2021 18:53;4,48;01/10/2021 14:24;01/10/2021 18:53;4,48;Elétrica;Corretiva;;SS47650;FECH
OS89877;Pomadas;P-02;Paletrizadora P-02;Corretiva banco;16/01/2021 19:12;16/01/2021 20:22;1,17;23/01/2021 07:56;23/01/2021 09:36;1,67;Mecânica;Corretiva;;SS47651;FECH
OS89878;Pomadas;P-02;Seladora P-02;Corretiva banco;25/11/2021 19:12;26/11/2021 00:10;4,97;25/11/2021 19:12;26/11/2021 00:10;4,97;Mecânica;Corretiva;;SS47652;FECH
OS89879;Pomadas;P-01;Paletrizadora P-01;Corretiva banco;04/12/2021 07:12;04/12/2021 10:24;3,2;04/12/2021 07:12;04/12/2021 10:24;3,2;Elétrica;Corretiva;;SS47653;FECH
OS89880;Pomadas;Fabricação Pomadas;Mixer 2 Pomadas;Corretiva banco;07/08/2021 12:00;07/08/2021 13:50;1,83;07/08/2021 12:00;07/08/2021 13:50;1,83;Mecânica;Corretiva;;SS47654;FECH
OS89881;Xarope;X-02;Seladora X-02;Corretiva banco;11/06/2021 02:24;11/06/2021 07:26;5,03;30/06/2021 18:14;01/07/2021 00:00;5,77;Automação;Corretiva;;SS47655;FECH
OS89882;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;29/03/2021 14:24;29/03/2021 17:06;2,7;13/04/2021 23:41;14/04/2021 02:24;2,72;Mecânica;Corretiva;;SS47656;FECH
OS89884;Pomadas;P-01;Esteira P-01;Corretiva banco;06/10/2021 14:24;06/10/2021 17:45;3,35;06/10/2021 14:24;06/10/2021 17:45;3,35;Automação;Corretiva;;SS47658;FECH
OS89885;Pomadas;P-02;Paletrizadora P-02;Corretiva banco;13/05/2021 21:36;14/05/2021 01:59;4,38;26/05/2021 05:26;26/05/2021 09:36;4,17;Automação;Corretiva;;SS47659;FECH
OS89886;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;21/04/2021 02:24;21/04/2021 05:48;3,4;21/04/2021 02:24;21/04/2021 05:48;3,4;Automação;Corretiva;;SS47660;FECH
OS89887;Utilidades;Compressores;Compressor  - GA 55;Corretiva banco;06/04/2021 09:36;06/04/2021 11:13;1,62;07/05/2021 03:38;07/05/2021 04:48;1,17;Mecânica;Corretiva;;SS47661;FECH
OS89888;Pomadas;P-02;Seladora de pacotes P-02;Corretiva banco;28/10/2021 16:48;28/10/2021 20:08;3,33;28/10/2021 16:48;28/10/2021 20:08;3,33;Mecânica;Corretiva;;SS47662;FECH
OS89889;Xarope;X-01;Seladora X-01;Corretiva banco;04/05/2021 19:12;04/05/2021 22:49;3,62;24/05/2021 04:03;24/05/2021 07:12;3,15;Elétrica;Corretiva;;SS47663;FECH
OS89890;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;07/09/2021 14:24;07/09/2021 16:20;1,93;28/09/2021 00:41;28/09/2021 02:24;1,72;Automação;Corretiva;;SS47664;FECH
OS89891;Xarope;X-02;Paletrizadora X-02;Corretiva banco;14/04/2021 04:48;14/04/2021 05:49;1,02;10/05/2021 17:26;10/05/2021 19:12;1,77;Mecânica;Corretiva;;SS47665;FECH
OS89892;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;20/08/2021 19:12;21/08/2021 00:02;4,83;21/08/2021 18:54;22/08/2021 00:00;5,1;Mecânica;Corretiva;;SS47666;FECH
OS89893;Pomadas;P-02;Paletrizadora P-02;Corretiva banco;01/07/2021 12:00;01/07/2021 13:30;1,5;29/09/2021 12:00;29/09/2021 13:30;1,5;Automação;Corretiva;;SS47667;FECH
OS89894;Pomadas;P-02;Envasadora P-02;Corretiva banco;13/06/2021 16:48;13/06/2021 21:34;4,77;13/06/2021 16:48;13/06/2021 21:34;4,77;Elétrica;Corretiva;;SS47668;FECH
OS89895;Pomadas;P-02;Seladora de pacotes P-02;Corretiva banco;04/12/2021 04:48;04/12/2021 06:14;1,43;04/12/2021 04:48;04/12/2021 06:14;1,43;Elétrica;Corretiva;;SS47669;FECH
OS89896;Xarope;X-01;Paletrizadora X-01;Corretiva banco;09/12/2021 02:24;09/12/2021 06:27;4,05;09/12/2021 02:24;09/12/2021 06:27;4,05;Mecânica;Corretiva;;SS47670;FECH
OS89897;Pomadas;P-02;Paletrizadora P-02;Corretiva banco;04/10/2021 21:36;04/10/2021 23:44;2,13;04/10/2021 21:36;04/10/2021 23:44;2,13;Mecânica;Corretiva;;SS47671;FECH
OS89898;Utilidades;Subsestação;Trafo 750 KVA;Corretiva banco;15/12/2021 12:00;15/12/2021 13:45;1,75;15/12/2021 12:00;15/12/2021 13:45;1,75;Mecânica;Corretiva;;;FECH
OS89900;Utilidades;Subsestação;Trafo 1000 KVA;Corretiva banco;03/05/2021 02:24;03/05/2021 04:45;2,35;09/05/2021 02:24;09/05/2021 04:45;2,35;Elétrica;Corretiva;;;FECH
OS89901;Pomadas;P-01;Paletrizadora P-01;Corretiva banco;26/02/2021 04:48;26/02/2021 08:58;4,17;12/03/2021 02:32;12/03/2021 07:12;4,67;Mecânica;Corretiva;;;FECH
OS89902;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;30/04/2021 07:12;30/04/2021 10:20;3,13;27/10/2021 07:12;27/10/2021 10:20;3,13;Mecânica;Corretiva;;;FECH
OS89903;Pomadas;P-01;Paletrizadora P-01;Corretiva banco;10/04/2021 21:36;11/04/2021 02:25;4,82;10/04/2021 21:36;11/04/2021 02:25;4,82;Elétrica;Corretiva;;;FECH
OS89904;Xarope;X-02;Seladora X-02;Corretiva banco;24/02/2021 07:12;24/02/2021 09:44;2,53;26/02/2021 06:48;26/02/2021 09:36;2,8;Elétrica;Corretiva;;;FECH
OS89906;Pomadas;Fabricação Pomadas;Mixer 2 Pomadas;Corretiva banco;02/01/2021 02:24;02/01/2021 04:04;1,67;07/01/2021 02:24;07/01/2021 04:04;1,67;Mecânica;Corretiva;;;FECH
OS89907;Xarope;X-01;Seladora X-01;Corretiva banco;18/02/2021 12:00;18/02/2021 16:13;4,22;09/03/2021 16:53;09/03/2021 21:36;4,72;Mecânica;Corretiva;;;FECH
