ID;Centro de Custo;Data Registro;Hora do registro;Vlr. Unit.;Qtde; Valor ;Material;Texto breve material;Local;Tipo
10078947;40020;05/01/2019;22:12:48;R$ 379,50;1;R$ 379,50;85002260;CILINDRO NORM.DSBC-32-30-PPVA-N3;REM01-2000-2100-X000004;Corretiva
10078948;40020;05/01/2019;02:18:12;R$ 1.492,08;1;R$ 1.492,08;85001942;FONTE ALIM,TRIF,SIEMENS/6EP1436-2B00;REM01-2000-2100-X000004;Corretiva
10078949;40030;05/01/2019;20:05:50;R$ 704,99;1;R$ 704,99;85002197;FILTRO,DO MNP,VACUEASYLIFT/10928;REM01-3000-3100-C000002;Planejada
10078950;40022;05/01/2019;20:51:54;R$ 412,97;1;R$ 412,97;85002278;ROLAMENTO AGULHAS,INA/NK 12/12;REM01-2000-2100-X000006;Corretiva
10078951;40007;05/01/2019;21:39:15;R$ 32,83;1;R$ 32,83;85002242;CABO P/SENSOR,FESTO/159420;REM01-1000-1200-E000001;Corretiva
10078952;40030;05/01/2019;23:51:20;R$ 26,70;1;R$ 26,70;85002379;ROLAMENTO FIXO ESFERAS,FAG/6002 2RSR;REM01-3000-3100-C000002;Planejada
10078953;40008;06/01/2019;15:43:13;R$ 345,48;1;R$ 345,48;85002281;CILINDRO NORM.DSBC-32-25-PPVA-N3;REM01-1000-1200-E000002;Corretiva
10080166;40014;18/02/2020;08:13:11;R$ 28,65;1;R$ 28,65;85001818;MANG.,DO SCL,NORDSON/274796;REM01-1000-1200-F000002;Planejada
10078955;40002;06/01/2019;08:23:08;R$ 169,44;1;R$ 169,44;85002213;TRINCO,DA EVS,/DES CI-C26-030;REM01-1000-1100-E000002;Corretiva
10078956;40014;06/01/2019;20:29:10;R$ 121,47;1;R$ 121,47;85002320;ARRUELA,IMSB/015509;REM01-1000-1200-F000002;Corretiva
10078957;40007;06/01/2019;21:08:32;R$ 85,91;1;R$ 85,91;85002292;BUCHA,DA EVS,/DES CH-C26-095;REM01-1000-1200-E000001;Corretiva
10078958;40026;06/01/2019;20:03:56;R$ 41,70;1;R$ 41,70;85002177;ADESIVO INSTANTANEO,THREE BOND/1743;REM01-2000-2200-X000004;Planejada
10078959;40023;06/01/2019;04:22:56;R$ 6,03;1;R$ 6,03;85002046;SEPARADOR,IMSB/098422;REM01-2000-2200-X000001;Corretiva
10080578;40014;18/05/2020;19:55:48;R$ 3.267,20;1;R$ 3.267,20;85001866;COMPONENTE,INTERTHANE990INCCOMPB0,51L;REM01-1000-1200-F000002;Corretiva
10080614;40026;04/06/2020;21:03:15;R$ 6.184,48;1;R$ 6.184,48;85001818;MANG.,DO SCL,NORDSON/274796;REM01-2000-2200-X000004;Corretiva
10078962;40026;07/01/2019;09:28:24;R$ 464,73;1;R$ 464,73;85002277;GAXETA,DA VALV,TUCHENHAGEN/224.613.29;REM01-2000-2200-X000004;Planejada
10078963;40001;07/01/2019;23:07:30;R$ 330,67;1;R$ 330,67;85002002;GAXETA/SV001914 70SHA;REM01-1000-1100-E000001;Planejada
10079405;40020;15/05/2019;02:32:20;R$ 197,51;1;R$ 197,51;85002256;ROLO COMANDO/KR 30 PP;REM01-2000-2100-X000004;Planejada
10078965;40026;07/01/2019;03:24:05;R$ 214,32;1;R$ 214,32;85002042;SENSOR MAGN/SME-8F-DS-24V;REM01-2000-2200-X000004;Corretiva
10078966;40008;07/01/2019;05:13:37;R$ 170,66;1;R$ 170,66;85002302;RETENTOR,12X18X4,5MM,NBR,VEDABRAS31627A2;REM01-1000-1200-E000002;Corretiva
10078967;40007;07/01/2019;19:01:54;R$ 148,54;1;R$ 148,54;85002315;ROLAMENTO CONTATO ANGULAR,SKF/3208 ATN9;REM01-1000-1200-E000001;Planejada
10078968;40002;07/01/2019;08:56:10;R$ 104,27;1;R$ 104,27;85002331;ROLAMENTO FIXO ESFERAS,SKF/6004 ZZ;REM01-1000-1100-E000002;Corretiva
10078969;40007;07/01/2019;03:07:38;R$ 72,39;1;R$ 72,39;85002042;SENSOR MAGN/SME-8F-DS-24V;REM01-1000-1200-E000001;Planejada
10078970;40008;07/01/2019;06:07:03;R$ 40,68;1;R$ 40,68;85002367;ROLAMENTO FIXO ESFERAS,SKF/6206 2RS;REM01-1000-1200-E000002;Corretiva
10078971;40007;07/01/2019;04:53:53;R$ 27,81;1;R$ 27,81;85002377;ROLAMENTO FIX RAPIDA,ROLMAX/UC-205-25MM;REM01-1000-1200-E000001;Planejada
10078972;40020;08/01/2019;09:04:24;R$ 50,98;1;R$ 50,98;85002354;GAXETA U,20X36X8,5MM,VEDABRAS/5144 NBR 8;REM01-2000-2100-X000004;Corretiva
10078973;40002;08/01/2019;13:43:51;R$ 24,47;1;R$ 24,47;85002361;ADESIVO VEDACAO,RHODIA/RHODIASTIC151310G;REM01-1000-1100-E000002;Planejada
10078974;40020;09/01/2019;05:01:40;R$ 966,33;1;R$ 966,33;85002007;ALOJAMENTO/DES CCC26082;REM01-2000-2100-X000004;Corretiva
10078975;40010;09/01/2019;02:34:51;R$ 150,84;1;R$ 150,84;85002314;ADESIVO,LOCTITE 221,HENKEL/221 50G;REM01-1000-1200-E000004;Corretiva
10078976;40001;09/01/2019;09:31:34;R$ 30,14;1;R$ 30,14;85002312;MOLA,DA EVS,/DES CI-C26-038;REM01-1000-1100-E000001;Corretiva
10078977;40007;09/01/2019;05:44:54;R$ 22,60;1;R$ 22,60;85002381;LAMINA P/ESTIL,AC,LARG,110,70X18X0,50MM;REM01-1000-1200-E000001;Planejada
10078978;40014;09/01/2019;23:37:08;R$ 15,65;1;R$ 15,65;85002357;OLEO DESENGRIPANTE,WURTH/3890-2 300ML;REM01-1000-1200-F000002;Corretiva
10078979;40007;10/01/2019;02:33:51;R$ 1.151,23;1;R$ 1.151,23;85001899;CARRETEL,SHIGA/PR01986FR028,5;REM01-1000-1200-E000001;Corretiva
10078980;40001;10/01/2019;15:05:04;R$ 468,13;1;R$ 468,13;85002266;CALCA PROF,SCHIMITTEL/AL/POL CZNUM36;REM01-1000-1100-E000001;Corretiva
10078981;40001;10/01/2019;05:13:52;R$ 62,30;1;R$ 62,30;85002283;GAXETA U,8X16X4MM,VEDABRAS/53619 NBR 85S;REM01-1000-1100-E000001;Corretiva
10078982;40012;10/01/2019;09:24:53;R$ 56,00;1;R$ 56,00;85002352;ROLAMENTO FIXO ESF,SKF/6006 2RS1;REM01-1000-1200-E000006;Corretiva
10078983;40017;11/01/2019;19:35:37;R$ 1.808,05;1;R$ 1.808,05;85001907;FIO NIQUEL/0,9MM2,1,713;REM01-2000-2100-X000001;Corretiva
10078984;40008;11/01/2019;06:34:28;R$ 1.251,39;1;R$ 1.251,39;85001961;GAXETA,DA VALV,NOCADO/821116V00000;REM01-1000-1200-E000002;Corretiva
10078985;40027;11/01/2019;05:44:04;R$ 155,89;1;R$ 155,89;85002309;MOLA,DA EVS,/DES NE-11-604-1003;REM01-2000-2200-X000005;Corretiva
10078986;40018;11/01/2019;14:04:36;R$ 69,30;1;R$ 69,30;85002344;MANOMETRO CIRC,FESTO/MA-40-10-R1/8-E-RG;REM01-2000-2100-X000002;Planejada
10078987;40002;11/01/2019;20:39:45;R$ 13,38;1;R$ 13,38;85002402;REFLETOR,RETANGULAR,30X50MM,SICK/PL30A;REM01-1000-1100-E000002;Corretiva
10078988;40030;11/01/2019;19:45:32;R$ 11,37;1;R$ 11,37;85002406;FITA ISOLANTE,PT,3M/SCOTCH 33+ 19MMX20M;REM01-3000-3100-C000002;Corretiva
10078989;40001;12/01/2019;01:24:08;R$ 339,78;1;R$ 339,78;85002002;GAXETA/SV001914 70SHA;REM01-1000-1100-E000001;Planejada
10078990;40007;12/01/2019;12:45:22;R$ 138,62;1;R$ 138,62;85002175;VENTOSA,30,50MM,VINHEDO/F-16901;REM01-1000-1200-E000001;Planejada
10078991;40014;12/01/2019;05:50:22;R$ 111,90;1;R$ 111,90;85002326;ROLAMENTO FIXO ESFERAS,SKF/6204 2RS;REM01-1000-1200-F000002;Corretiva
10078992;40001;12/01/2019;21:30:54;R$ 85,16;1;R$ 85,16;85002321;ADITIVO,DA IMPRESSORA,IMAJE/8158;REM01-1000-1100-E000001;Planejada
10078993;40011;12/01/2019;22:18:48;R$ 52,73;1;R$ 52,73;85002355;LUVA SEG,NBR,AZ,G,VOLK/106004302TAMG;REM01-1000-1200-E000005;Planejada
10078994;40007;12/01/2019;19:01:54;R$ 50,54;1;R$ 50,54;85002360;ROLAMENTO ROLOS CONICOS,SKF/30208 J2 Q;REM01-1000-1200-E000001;Corretiva
10078995;40001;13/01/2019;03:47:02;R$ 433,59;1;R$ 433,59;85002172;HASTE,DA ECT,/DES NE-11-308-1733;REM01-1000-1100-E000001;Corretiva
10078996;40002;13/01/2019;06:23:54;R$ 124,25;1;R$ 124,25;85002283;GAXETA U,8X16X4MM,VEDABRAS/53619 NBR 85S;REM01-1000-1100-E000002;Corretiva
10078997;40002;13/01/2019;15:44:32;R$ 92,31;1;R$ 92,31;85002332;OLEO MINERAL, AEROSOL,MOLIKOTE, P-0750-1;REM01-1000-1100-E000002;Corretiva
10078998;40001;13/01/2019;02:33:21;R$ 71,75;1;R$ 71,75;85002042;SENSOR MAGN/SME-8F-DS-24V;REM01-1000-1100-E000001;Corretiva
10078999;40001;13/01/2019;19:48:05;R$ 68,89;1;R$ 68,89;85002345;ROLAMENTO FIX RAPIDA,ROLMAX/UC-207-35MM;REM01-1000-1100-E000001;Corretiva
10079000;40008;13/01/2019;00:47:40;R$ 26,94;1;R$ 26,94;85002379;ROLAMENTO FIXO ESFERAS,FAG/6002 2RSR;REM01-1000-1200-E000002;Planejada
10079001;40016;13/01/2019;08:37:30;R$ 24,11;1;R$ 24,11;85002381;LAMINA P/ESTIL,AC,LARG,110,70X18X0,50MM;REM01-1000-2200-F000002;Corretiva
10079002;40001;13/01/2019;05:24:31;R$ 13,84;1;R$ 13,84;85002376;ADAPTADOR TUBO/MACHO,FESTO/QS-1/8-6;REM01-1000-1100-E000001;Corretiva
10079003;40014;14/01/2019;05:56:40;R$ 390,52;1;R$ 390,52;85002201;DIAFRAGMA,DA BOMBA,WILDEN/01101058;REM01-1000-1200-F000002;Corretiva
10079004;40024;14/01/2019;20:39:10;R$ 72,79;1;R$ 72,79;85002323;ANEL VED CONEX SANIT SMS,RETENROL/20751;REM01-2000-2200-X000002;Corretiva
10079005;40002;14/01/2019;09:33:38;R$ 13,00;1;R$ 13,00;85002383;ROLAMENTO FIXO ESFERAS,SKF/6201 2RS;REM01-1000-1100-E000002;Corretiva
10079006;40023;14/01/2019;08:15:40;R$ 5,02;1;R$ 5,02;85002425;PORCA,SEXTAV,M10X1,5,ALT 7,64MM,AISI304;REM01-2000-2200-X000001;Corretiva
10079007;40012;15/01/2019;22:10:43;R$ 239,94;1;R$ 239,94;85002291;SENSOR PROX,SENSE/PS2-14I-A2/SZ;REM01-1000-1200-E000006;Corretiva
10079008;40032;15/01/2019;21:55:08;R$ 200,32;1;R$ 200,32;85002298;GAXETA,DA ECH NOR,SKF/GAX 23X15,30X6MM;REM01-3000-3200-T000002;Planejada
10079517;40018;30/06/2019;16:24:22;R$ 279,52;1;R$ 279,52;85001894;TARUGO  1/2POL,500MM;REM01-2000-2100-X000002;Corretiva
10079010;40002;15/01/2019;21:43:22;R$ 106,54;1;R$ 106,54;85002330;GAXETA VEDABRAS 16.4X25X 3.3;REM01-1000-1100-E000002;Corretiva
10079011;40002;15/01/2019;04:33:54;R$ 87,49;1;R$ 87,49;85002334;ROTULA RADIAL,10X22X12MM,SKF/GEH 10 C;REM01-1000-1100-E000002;Corretiva
10079012;40001;15/01/2019;19:51:17;R$ 53,30;1;R$ 53,30;85002354;GAXETA U,20X36X8,5MM,VEDABRAS/5144 NBR 8;REM01-1000-1100-E000001;Corretiva
10079013;40014;15/01/2019;05:34:23;R$ 8,68;1;R$ 8,68;85002388;UNIAO TUBO,FESTO/QS-6;REM01-1000-1200-F000002;Corretiva
10079014;40001;16/01/2019;22:44:38;R$ 165,33;1;R$ 165,33;85002002;GAXETA/SV001914 70SHA;REM01-1000-1100-E000001;Planejada
10079015;40008;16/01/2019;17:41:17;R$ 56,11;1;R$ 56,11;85002350;MANOMETRO CIRC,FESTO/MA-50-10-1/4-EN;REM01-1000-1200-E000002;Corretiva
10079016;40008;16/01/2019;04:08:08;R$ 12,82;1;R$ 12,82;85002376;ADAPTADOR TUBO/MACHO,FESTO/QS-1/8-6;REM01-1000-1200-E000002;Corretiva
10079017;40014;16/01/2019;04:08:08;R$ 7,27;1;R$ 7,27;85002382;ADAPTADOR TUBO/MACHO,FESTO/QS-1/8-8;REM01-1000-1200-F000002;Corretiva
10079018;40016;17/01/2019;09:55:29;R$ 1.406,46;1;R$ 1.406,46;85001947;PINHAO PNEUM/366967;REM01-1000-2200-F000002;Planejada
10079019;40007;17/01/2019;22:13:36;R$ 1.233,99;1;R$ 1.233,99;85001962;ANEL VED. 58X72X12MM;REM01-1000-1200-E000001;Planejada
10079443;40020;23/05/2019;19:59:43;R$ 289,25;1;R$ 289,25;85002256;ROLO COMANDO/KR 30 PP;REM01-2000-2100-X000004;Corretiva
10079021;40017;17/01/2019;05:01:40;R$ 966,33;1;R$ 966,33;85002007;ALOJAMENTO/DES CCC26082;REM01-2000-2100-X000001;Planejada
10079022;40011;17/01/2019;19:10:27;R$ 805,72;1;R$ 805,72;85002160;PLACA,RED/PU 3000X500X2MM 90SHA;REM01-1000-1200-E000005;Corretiva
10079023;40012;17/01/2019;14:16:26;R$ 199,82;1;R$ 199,82;85002191;BUCHA ESF DES LINEAR,INA/KH 1630;REM01-1000-1200-E000006;Planejada
10079024;40003;17/01/2019;06:14:29;R$ 25,49;1;R$ 25,49;85002380;FITA ISOLANTE,3M/SCOTH 23 19MMX10M PRETA;REM01-1000-1100-E000003;Planejada
10079025;40017;17/01/2019;21:52:17;R$ 15,24;1;R$ 15,24;85002400;ABRACADEIRA,REG 44-57 MM,SAE1020 ZINC;REM01-2000-2100-X000001;Corretiva
10079026;40001;17/01/2019;19:07:13;R$ 13,25;1;R$ 13,25;85002404;ADAPTADOR TUBO/MACHO,FESTO/QSM-M5-6;REM01-1000-1100-E000001;Corretiva
10079027;40033;17/01/2019;08:22:08;R$ 12,49;1;R$ 12,49;85002376;ADAPTADOR TUBO/MACHO,FESTO/QS-1/8-6;REM01-3000-3300-C000001;Corretiva
10079028;40018;18/01/2019;04:49:35;R$ 892,69;1;R$ 892,69;85002023;JUNTA INOX,DINATECNICA/JEAVP PN10 DN4POL;REM01-2000-2100-X000002;Corretiva
10079029;40008;18/01/2019;07:04:25;R$ 217,80;1;R$ 217,80;85002295;TERMINAL;REM01-1000-1200-E000002;Corretiva
10079030;40033;18/01/2019;19:56:09;R$ 178,75;1;R$ 178,75;85002060;BUCHA ESF DES LINEAR,INA/KB 2045 PP;REM01-3000-3300-C000001;Corretiva
10079031;40002;18/01/2019;05:15:39;R$ 85,61;1;R$ 85,61;85002177;ADESIVO INSTANTANEO,THREE BOND/1743;REM01-1000-1100-E000002;Planejada
10080734;40017;06/08/2020;14:36:16;R$ 6.184,48;1;R$ 6.184,48;85001818;MANG.,DO SCL,NORDSON/274796;REM01-2000-2100-X000001;Planejada
10079033;40007;19/01/2019;01:24:27;R$ 1.674,04;1;R$ 1.674,04;85001919;GAXETA,SEC ESP,22X30X7MM;REM01-1000-1200-E000001;Corretiva
10079034;40023;19/01/2019;19:24:55;R$ 170,16;1;R$ 170,16;85002303;PLUG P/TOMADA,16A,380/440V,STECK/S-4076;REM01-2000-2200-X000001;Planejada
10079035;40007;19/01/2019;15:29:09;R$ 91,44;1;R$ 91,44;85002042;SENSOR MAGN/SME-8F-DS-24V;REM01-1000-1200-E000001;Corretiva
10079036;40023;19/01/2019;18:27:21;R$ 36,38;1;R$ 36,38;85002394;ROLAMENTO FIXO ESFERAS,SKF/6000 2RS;REM01-2000-2200-X000001;Planejada
10079037;40008;19/01/2019;01:52:22;R$ 20,45;1;R$ 20,45;85002346;FITA VEDACAO TEFLON,TIGRE/54.50.195.1;REM01-1000-1200-E000002;Planejada
10079038;40023;19/01/2019;18:53:32;R$ 18,97;1;R$ 18,97;85002395;VENTOSA,CIRCULAR,SO VEDACOES/715999 NBR;REM01-2000-2200-X000001;Corretiva
10079039;40016;20/01/2019;09:26:24;R$ 505,63;1;R$ 505,63;85002143;HASTE,DA ECT,/DES CJ-C24-010;REM01-1000-2200-F000002;Corretiva
10079040;40031;20/01/2019;22:20:22;R$ 80,85;1;R$ 80,85;85002042;SENSOR MAGN/SME-8F-DS-24V;REM01-3000-3200-T000001;Planejada
10079041;40002;20/01/2019;22:23:15;R$ 36,62;1;R$ 36,62;85002323;ANEL VED CONEX SANIT SMS,RETENROL/20751;REM01-1000-1100-E000002;Planejada
10079042;40025;20/01/2019;05:11:13;R$ 5,12;1;R$ 5,12;85002410;LAMINA SERRA,12X1/2 POL,STARRETT/RS1224;REM01-2000-2200-X000003;Planejada
10079043;40023;21/01/2019;21:46:12;R$ 376,98;1;R$ 376,98;85002283;GAXETA U,8X16X4MM,VEDABRAS/53619 NBR 85S;REM01-2000-2200-X000001;Corretiva
10079931;40008;26/01/2020;18:59:54;R$ 289,25;1;R$ 289,25;85002256;ROLO COMANDO/KR 30 PP;REM01-1000-1200-E000002;Planejada
10079045;40032;21/01/2019;19:40:17;R$ 258,37;1;R$ 258,37;85002288;ROLAMENTO AUTOCOMP ESF,SKF/2203E 2RS TN9;REM01-3000-3200-T000002;Corretiva
10079046;40020;21/01/2019;08:56:10;R$ 33,38;1;R$ 33,38;85002358;ROLAMENTO FIXO ESFERAS,SKF/626 2RS;REM01-2000-2100-X000004;Corretiva
10079047;40006;21/01/2019;19:20:26;R$ 23,65;1;R$ 23,65;85002381;LAMINA P/ESTIL,AC,LARG,110,70X18X0,50MM;REM01-1000-1100-E000006;Corretiva
10079048;40005;21/01/2019;22:13:33;R$ 15,17;1;R$ 15,17;85002357;OLEO DESENGRIPANTE,WURTH/3890-2 300ML;REM01-1000-1100-E000005;Corretiva
10079049;40016;21/01/2019;19:37:41;R$ 10,36;1;R$ 10,36;85002413;MASCARA DESCARTAVEL, 3M/PFF-2-8023;REM01-1000-2200-F000002;Corretiva
10079050;40001;22/01/2019;20:40:52;R$ 79,77;1;R$ 79,77;85002339;FITA VEDACAO TEFLON,LARG 18MM,ROLO 25M;REM01-1000-1100-E000001;Corretiva
10079051;40012;22/01/2019;10:42:50;R$ 37,09;1;R$ 37,09;85002371;O-RING,237X3,50MM,NBR,70 SHORE A;REM01-1000-1200-E000006;Corretiva
10079052;40008;22/01/2019;05:34:23;R$ 11,87;1;R$ 11,87;85002408;O-RING,65,50X3,50MM,NITRILICA,70 SHORE A;REM01-1000-1200-E000002;Corretiva
10079053;40014;22/01/2019;13:50:21;R$ 7,88;1;R$ 7,88;85002419;LUVA,SEXTAV,ALUM,1/4BSP,FESTO/QM-1/4-1/4;REM01-1000-1200-F000002;Corretiva
10079054;40033;23/01/2019;05:58:03;R$ 1.725,78;1;R$ 1.725,78;85001816;SENSOR FOTOELET/2B550;REM01-3000-3300-C000001;Corretiva
10079055;40012;23/01/2019;08:06:26;R$ 514,94;1;R$ 514,94;85002091;DOBRADICA,PIN FIX,INOX,4X3POL,RET;REM01-1000-1200-E000006;Planejada
10079056;40018;23/01/2019;19:17:21;R$ 512,15;1;R$ 512,15;85002129;CORREIA,BORR NBR,3240X35MM,RR103240X35F;REM01-2000-2100-X000002;Corretiva
10079057;40007;23/01/2019;11:45:29;R$ 122,28;1;R$ 122,28;85002319;VENTOSA,40MM,1/4BSP,FESTO/35420;REM01-1000-1200-E000001;Corretiva
10079058;40020;23/01/2019;08:32:28;R$ 22,15;1;R$ 22,15;85002388;UNIAO TUBO,FESTO/QS-6;REM01-2000-2100-X000004;Corretiva
10079059;40007;23/01/2019;05:20:59;R$ 19,57;1;R$ 19,57;85002247;TUBO FLEX,POLIURETANO,AZUL,FESTO/159666;REM01-1000-1200-E000001;Planejada
10079060;40007;23/01/2019;21:11:33;R$ 16,47;1;R$ 16,47;85002379;ROLAMENTO FIXO ESFERAS,FAG/6002 2RSR;REM01-1000-1200-E000001;Corretiva
10079061;40033;24/01/2019;19:47:57;R$ 138,36;1;R$ 138,36;85002304;GAXETA U, 15X23X5, 50MM, SOVEDACOESSV715;REM01-3000-3300-C000001;Planejada
10079062;40023;24/01/2019;08:23:00;R$ 25,49;1;R$ 25,49;85002380;FITA ISOLANTE,3M/SCOTH 23 19MMX10M PRETA;REM01-2000-2200-X000001;Planejada
10079063;40018;24/01/2019;04:44:51;R$ 16,90;1;R$ 16,90;85002398;ELEMENTO FILTRANTE,P/AR,FESTO/534499;REM01-2000-2100-X000002;Corretiva
10079064;40001;24/01/2019;21:49:06;R$ 7,27;1;R$ 7,27;85002382;ADAPTADOR TUBO/MACHO,FESTO/QS-1/8-8;REM01-1000-1100-E000001;Corretiva
10079065;40009;25/01/2019;14:27:18;R$ 892,15;1;R$ 892,15;85002047;MOLA,DA EVS,GEFERPLAS/DES CJ-C26-104;REM01-1000-1200-E000003;Corretiva
10079066;40012;25/01/2019;03:10:40;R$ 166,32;1;R$ 166,32;85002292;BUCHA,DA EVS,/DES CH-C26-095;REM01-1000-1200-E000006;Corretiva
10080823;40002;24/09/2020;20:01:00;R$ 2.217,00;1;R$ 2.217,00;85001890;VALV. PNEUM DIREC./173145;REM01-1000-1100-E000002;Corretiva
10079068;40026;25/01/2019;02:39:49;R$ 24,10;1;R$ 24,10;85002381;LAMINA P/ESTIL,AC,LARG,110,70X18X0,50MM;REM01-2000-2200-X000004;Planejada
10081186;40002;24/09/2021;20:01:00;R$ 2.217,00;1;R$ 2.217,00;85001890;VALV. PNEUM DIREC./173145;REM01-1000-1100-E000002;Corretiva
10079070;40031;26/01/2019;21:10:39;R$ 266,68;1;R$ 266,68;85001927;CORREIA;REM01-3000-3200-T000001;Corretiva
10079853;40007;13/01/2020;05:48:06;R$ 1.764,44;1;R$ 1.764,44;85001912;VALV. PNEUM DIREC/JMFH-5-1/4;REM01-1000-1200-E000001;Corretiva
10079072;40015;26/01/2019;22:16:45;R$ 159,54;1;R$ 159,54;85002308;CORREIA SINCRONIZADORA,GATES/25T10/1050;REM01-1000-2200-F000001;Planejada
10079073;40028;26/01/2019;19:37:30;R$ 32,91;1;R$ 32,91;85002370;ROLAMENTO RIGIDO ESFERAS  SKF;REM01-2000-2200-X000006;Planejada
10079074;40006;26/01/2019;17:44:54;R$ 13,40;1;R$ 13,40;85002401;INTERRUPTOR,SIMP,10A,LEGRAND GROUP/2100;REM01-1000-1100-E000006;Corretiva
10079075;40017;26/01/2019;19:42:24;R$ 8,20;1;R$ 8,20;85002416;FERRAMENTA MODELO M9E ESPECIAL;REM01-2000-2100-X000001;Corretiva
10079076;40002;26/01/2019;21:47:42;R$ 6,60;1;R$ 6,60;85002257;TUBO FLEX,POLIURETANO,AZUL,DIAM EXT 12MM;REM01-1000-1100-E000002;Corretiva
10079077;40008;27/01/2019;20:41:33;R$ 264,00;1;R$ 264,00;85002287;BUCHA AUTOLUBRIFICANTE,GLACIER/1212DU;REM01-1000-1200-E000002;Corretiva
10079078;40007;27/01/2019;19:03:22;R$ 71,79;1;R$ 71,79;85002340;ANEL VED CONEX SANIT TC,DIAM 2POL,EPDM;REM01-1000-1200-E000001;Corretiva
10079079;40002;27/01/2019;23:30:04;R$ 56,30;1;R$ 56,30;85002332;OLEO MINERAL, AEROSOL,MOLIKOTE, P-0750-1;REM01-1000-1100-E000002;Corretiva
10079080;40016;27/01/2019;07:28:31;R$ 15,91;1;R$ 15,91;85002399;ROLAMENTO FIXO ESFERAS,SKF/6301 ZZ;REM01-1000-2200-F000002;Planejada
