OS;Localizacao;Descricao;InicioProg;TerminoProg;TempoPrevisto;InicioReal;TerminoReal;TempoParada;Oficina;Tipo;MP;SS;Status
OS89874;REM01-1000-1200-E000001;Corretiva banco;13/10/2021 21:36;14/10/2021 00:28;2,87;18/10/2021 13:40;18/10/2021 16:48;3,13;Mecânica;Corretiva;;SS47648;FECH
OS89875;REM01-1000-1100-E000002;Corretiva banco;24/01/2021 02:24;24/01/2021 07:24;5;13/02/2021 02:39;13/02/2021 07:12;4,55;Mecânica;Corretiva;;SS47649;FECH
OS89876;REM01-1000-1100-E000003;Corretiva banco;03/07/2021 14:24;03/07/2021 18:53;4,48;01/10/2021 14:24;01/10/2021 18:53;4,48;Elétrica;Corretiva;;SS47650;FECH
OS89877;REM01-1000-1200-E000006;Corretiva banco;16/01/2021 19:12;16/01/2021 20:22;1,17;23/01/2021 07:56;23/01/2021 09:36;1,67;Mecânica;Corretiva;;SS47651;FECH
OS89878;REM01-1000-1200-E000003;Corretiva banco;25/11/2021 19:12;26/11/2021 00:10;4,97;25/11/2021 19:12;26/11/2021 00:10;4,97;Mecânica;Corretiva;;SS47652;FECH
OS89879;REM01-1000-1100-E000006;Corretiva banco;04/12/2021 07:12;04/12/2021 10:24;3,2;04/12/2021 07:12;04/12/2021 10:24;3,2;Elétrica;Corretiva;;SS47653;FECH
OS89880;REM01-1000-1200-F000002;Corretiva banco;07/08/2021 12:00;07/08/2021 13:50;1,83;07/08/2021 12:00;07/08/2021 13:50;1,83;Mecânica;Corretiva;;SS47654;FECH
OS89881;REM01-2000-2200-X000003;Corretiva banco;11/06/2021 02:24;11/06/2021 07:26;5,03;30/06/2021 18:14;01/07/2021 00:00;5,77;Automação;Corretiva;;SS47655;FECH
OS89882;REM01-2000-2100-X000004;Corretiva banco;29/03/2021 14:24;29/03/2021 17:06;2,7;13/04/2021 23:41;14/04/2021 02:24;2,72;Mecânica;Corretiva;;SS47656;FECH
OS89884;REM01-1000-1100-E000005;Corretiva banco;06/10/2021 14:24;06/10/2021 17:45;3,35;06/10/2021 14:24;06/10/2021 17:45;3,35;Automação;Corretiva;;SS47658;FECH
OS89885;REM01-1000-1200-E000006;Corretiva banco;13/05/2021 21:36;14/05/2021 01:59;4,38;26/05/2021 05:26;26/05/2021 09:36;4,17;Automação;Corretiva;;SS47659;FECH
OS89886;REM01-3000-3100-C000002;Corretiva banco;21/04/2021 02:24;21/04/2021 05:48;3,4;21/04/2021 02:24;21/04/2021 05:48;3,4;Automação;Corretiva;;SS47660;FECH
OS89887;REM01-3000-3100-C000001;Corretiva banco;06/04/2021 09:36;06/04/2021 11:13;1,62;07/05/2021 03:38;07/05/2021 04:48;1,17;Mecânica;Corretiva;;SS47661;FECH
OS89888;REM01-1000-1200-E000004;Corretiva banco;28/10/2021 16:48;28/10/2021 20:08;3,33;28/10/2021 16:48;28/10/2021 20:08;3,33;Mecânica;Corretiva;;SS47662;FECH
OS89889;REM01-2000-2100-X000003;Corretiva banco;04/05/2021 19:12;04/05/2021 22:49;3,62;24/05/2021 04:03;24/05/2021 07:12;3,15;Elétrica;Corretiva;;SS47663;FECH
OS89890;REM01-3000-3100-C000002;Corretiva banco;07/09/2021 14:24;07/09/2021 16:20;1,93;28/09/2021 00:41;28/09/2021 02:24;1,72;Automação;Corretiva;;SS47664;FECH
OS89891;REM01-2000-2200-X000006;Corretiva banco;14/04/2021 04:48;14/04/2021 05:49;1,02;10/05/2021 17:26;10/05/2021 19:12;1,77;Mecânica;Corretiva;;SS47665;FECH
OS89892;REM01-2000-2100-X000004;Corretiva banco;20/08/2021 19:12;21/08/2021 00:02;4,83;21/08/2021 18:54;22/08/2021 00:00;5,1;Mecânica;Corretiva;;SS47666;FECH
OS89893;REM01-1000-1200-E000006;Corretiva banco;01/07/2021 12:00;01/07/2021 13:30;1,5;29/09/2021 12:00;29/09/2021 13:30;1,5;Automação;Corretiva;;SS47667;FECH
OS89894;REM01-1000-1200-E000001;Corretiva banco;13/06/2021 16:48;13/06/2021 21:34;4,77;13/06/2021 16:48;13/06/2021 21:34;4,77;Elétrica;Corretiva;;SS47668;FECH
OS89895;REM01-1000-1200-E000004;Corretiva banco;04/12/2021 04:48;04/12/2021 06:14;1,43;04/12/2021 04:48;04/12/2021 06:14;1,43;Elétrica;Corretiva;;SS47669;FECH
OS89896;REM01-2000-2100-X000006;Corretiva banco;09/12/2021 02:24;09/12/2021 06:27;4,05;09/12/2021 02:24;09/12/2021 06:27;4,05;Mecânica;Corretiva;;SS47670;FECH
OS89897;REM01-1000-1200-E000006;Corretiva banco;04/10/2021 21:36;04/10/2021 23:44;2,13;04/10/2021 21:36;04/10/2021 23:44;2,13;Mecânica;Corretiva;;SS47671;FECH
OS89898;REM01-3000-3200-T000002;Corretiva banco;15/12/2021 12:00;15/12/2021 13:45;1,75;15/12/2021 12:00;15/12/2021 13:45;1,75;Mecânica;Corretiva;;;FECH
OS89900;REM01-3000-3200-T000001;Corretiva banco;03/05/2021 02:24;03/05/2021 04:45;2,35;09/05/2021 02:24;09/05/2021 04:45;2,35;Elétrica;Corretiva;;;FECH
OS89901;REM01-1000-1100-E000006;Corretiva banco;26/02/2021 04:48;26/02/2021 08:58;4,17;12/03/2021 02:32;12/03/2021 07:12;4,67;Mecânica;Corretiva;;;FECH
OS89902;REM01-1000-1100-E000002;Corretiva banco;30/04/2021 07:12;30/04/2021 10:20;3,13;27/10/2021 07:12;27/10/2021 10:20;3,13;Mecânica;Corretiva;;;FECH
OS89903;REM01-1000-1100-E000006;Corretiva banco;10/04/2021 21:36;11/04/2021 02:25;4,82;10/04/2021 21:36;11/04/2021 02:25;4,82;Elétrica;Corretiva;;;FECH
OS89904;REM01-2000-2200-X000003;Corretiva banco;24/02/2021 07:12;24/02/2021 09:44;2,53;26/02/2021 06:48;26/02/2021 09:36;2,8;Elétrica;Corretiva;;;FECH
OS89906;REM01-1000-1200-F000002;Corretiva banco;02/01/2021 02:24;02/01/2021 04:04;1,67;07/01/2021 02:24;07/01/2021 04:04;1,67;Mecânica;Corretiva;;;FECH
OS89907;REM01-2000-2100-X000003;Corretiva banco;18/02/2021 12:00;18/02/2021 16:13;4,22;09/03/2021 16:53;09/03/2021 21:36;4,72;Mecânica;Corretiva;;;FECH
OS89908;REM01-1000-1200-E000002;Corretiva banco;17/11/2021 21:36;18/11/2021 02:00;4,4;17/11/2021 21:36;18/11/2021 02:00;4,4;Mecânica;Corretiva;;;FECH
OS89909;REM01-1000-1100-E000006;Corretiva banco;21/01/2021 16:48;21/01/2021 18:18;1,5;23/01/2021 10:00;23/01/2021 12:00;2;Mecânica;Corretiva;;;FECH
OS89910;REM01-2000-2200-X000005;Corretiva banco;01/12/2021 16:48;01/12/2021 21:44;4,93;30/12/2021 19:03;31/12/2021 00:00;4,95;Automação;Corretiva;;;FECH
OS89911;REM01-1000-1200-E000002;Corretiva banco;16/08/2021 21:36;16/08/2021 23:02;1,43;16/08/2021 21:36;16/08/2021 23:02;1,43;Mecânica;Corretiva;;;FECH
OS89912;REM01-2000-2100-X000005;Corretiva banco;17/05/2021 19:12;17/05/2021 21:56;2,73;22/05/2021 14:03;22/05/2021 16:48;2,75;Elétrica;Corretiva;;SS47686;FECH
OS89913;REM01-1000-2200-F000001;Corretiva banco;19/02/2021 21:36;20/02/2021 02:22;4,77;28/02/2021 23:47;01/03/2021 04:48;5,02;Mecânica;Corretiva;;SS47687;FECH
OS89914;REM01-1000-2200-F000002;Corretiva banco;24/04/2021 07:12;24/04/2021 10:12;3;24/04/2021 07:12;24/04/2021 10:12;3;Elétrica;Corretiva;;SS47688;FECH
OS89915;REM01-1000-1200-E000005;Corretiva banco;24/10/2021 09:36;24/10/2021 13:48;4,2;24/10/2021 09:36;24/10/2021 13:48;4,2;Elétrica;Corretiva;;SS47689;FECH
OS89916;REM01-1000-2200-F000001;Corretiva banco;10/04/2021 19:12;10/04/2021 23:19;4,12;10/04/2021 19:12;10/04/2021 23:19;4,12;Automação;Corretiva;;SS47690;FECH
OS89917;REM01-1000-1100-E000006;Corretiva banco;10/06/2021 04:48;10/06/2021 07:23;2,58;29/06/2021 14:12;29/06/2021 16:48;2,6;Elétrica;Corretiva;;SS47691;FECH
